title,price,release_year,release_month,rating,required_age,is_multiplayer
"Medieval II: Total War™ Kingdoms",11.99,2007,11,85,0,1
"Sid Meier's Civilization®: Beyond Earth™",39.99,2014,10,81,0,1
"Majesty 2",9.99,2009,9,72,0,0
Wizorb,2.99,2012,3,81,0,0
"Air Conflicts: Vietnam",17.99,2013,10,43,0,1
"Warhammer® 40,000: Dawn of War® - Dark Crusade",12.99,2007,8,87,17,1
"Drug Wars",4.99,2009,3,35,17,1
Drakensang,9.99,2009,3,75,0,0
"Rush for Berlin Gold",4.99,2009,10,76,0,1
Singularity™,29.99,2010,6,76,0,1
"Supreme League of Patriots",5.99,2015,1,56,0,0
"Quake IV",19.99,2011,8,81,17,1
"TowerFall Ascension",14.99,2014,3,87,0,0
"Bully: Scholarship Edition",14.99,2008,10,72,0,0
"Master Spy",9.99,2015,9,68,0,0
"Operation Flashpoint: Dragon Rising",9.99,2009,10,76,17,0
"Party Hard",12.89,2015,8,66,17,0
"F1 2012™",19.99,2012,9,80,0,1
"Gothic II: Gold Edition",9.99,1970,1,79,0,0
"War, the Game",6.99,2015,1,65,0,1
"Anomaly 2",14.99,2013,5,77,0,1
"World War II: Panzer Claws",4.99,2013,9,61,0,1
"Slow Down, Bull",1.99,2015,4,65,0,0
"S.T.A.L.K.E.R.: Shadow of Chernobyl",19.99,2007,3,82,17,1
"Albedo: Eyes from Outer Space",14.99,2015,4,66,0,0
"MASSIVE CHALICE",19.99,2015,6,73,0,0
"Rig n Roll",9.99,2010,7,61,0,0
"RUNNING WITH RIFLES",14.99,2015,4,78,0,1
"Grand Theft Auto III",9.99,2011,1,93,17,0
"Age of Wonders III",29.99,2014,3,80,0,1
"Grand Theft Auto V",59.99,2015,4,96,17,1
"Dungeons 2",39.99,2015,4,70,0,1
"Sniper Elite: Nazi Zombie Army 2",14.99,2013,10,53,0,0
"Larva Mortus",4.99,2009,3,64,0,0
"Polaris Sector",39.99,2016,3,75,0,0
"The Witcher Adventure Game",9.99,2014,11,68,0,1
"War for the Overworld",29.99,2015,4,65,0,1
"CrimeCraft: GangWars",0,2011,8,68,0,1
"Battle Of Europe",9.99,2014,9,54,0,0
Downwell,2.99,2015,10,84,0,0
"Deadfall Adventures",19.99,2013,11,53,0,1
"Saints Row: The Third",14.99,2011,11,84,17,0
"ARMA: Combat Operations",7.99,2008,3,74,0,1
"Phantom Breaker: Battle Grounds",11.99,2015,1,64,0,0
"Blacklight: Retribution",0,2012,7,75,0,1
"Sid Meier's Civilization IV: Colonization",19.99,2008,9,83,0,1
"The Settlers®: Rise Of An Empire Gold Edition",19.99,2008,10,66,0,0
"The Kings' Crusade",9.99,2010,10,71,0,1
"Amnesia: The Dark Descent",19.99,2010,9,85,0,0
"Desperados 2: Cooper's Revenge",9.99,2008,3,66,0,0
"Decay: The Mare",9.99,2015,2,60,0,0
"Journey of a Roach",14.99,2013,11,65,0,0
"Sherlock Holmes: Crimes and Punishments",29.99,2014,9,77,0,0
Eldritch,14.99,2013,10,77,0,0
"Faces of War",4.99,2014,4,67,0,1
"Volgarr the Viking",9.99,2013,9,76,0,0
"Serious Sam: The Random Encounter",4.99,2011,10,64,0,0
"Nuclear Dawn",9.99,2011,9,71,0,1
Silverfall,9.99,2007,3,62,0,0
"Shadow Harvest: Phantom Ops",9.99,2011,4,34,17,0
"The Witcher® 3: Wild Hunt",49.99,2015,5,93,0,0
"Shadowrun Returns",14.99,2013,7,76,0,0
"Only If",0,2014,7,39,18,0
"Space Colony: Steam Edition",14.99,2015,4,74,0,0
"So Many Me",14.99,2014,7,78,0,0
"Rise of Venice",24.99,2013,9,66,0,1
"Nancy Drew® Dossier™: Resorting to Danger!",6.99,2009,11,77,0,0
"Forsaken World",0,2011,6,69,0,1
"Rome: Total War™ - Collection",9.99,2007,8,92,0,1
"Perimeter 2: New Earth",14.99,2009,2,43,0,1
"Portal 2",19.99,2011,4,95,0,0
"Nancy Drew®: Warnings at Waverly Academy",6.99,2010,1,76,0,0
"Red Faction Guerrilla Steam Edition",19.99,2009,9,82,0,1
"Puzzle Quest: Galactrix",9.99,2009,2,72,0,1
"Grand Ages: Medieval",39.99,2015,9,63,0,1
"Quantum Conundrum",8.99,2012,6,77,0,0
"The Longest Journey",9.99,2007,5,91,0,0
"The Magic Circle",19.99,2015,7,80,0,0
"RollerCoaster Tycoon® 3: Platinum",19.99,2008,3,81,0,0
Divekick,4.99,2013,8,73,0,1
"Tom Clancy's Ghost Recon Phantoms - NA",0,2014,4,70,16,1
"Geometry Wars: Retro Evolved",3.99,2007,6,76,0,0
"The Banner Saga",19.99,2014,1,80,0,0
"Aviary Attorney",14.99,2015,12,77,0,0
BioShock™,19.99,2007,8,96,17,0
"The Book of Unwritten Tales",19.99,2012,7,82,0,0
"Football Manager 2016",49.99,2015,11,81,0,1
"Holy Potatoes! A Weapon Shop?!",14.99,2015,7,69,0,0
"Command & Conquer 3: Tiberium Wars",14.99,2009,11,85,0,0
"Eschalon: Book III",14.99,2014,2,67,0,0
"Vancouver 2010™ - The Official Video Game of the Olympic Winter Games",0,2010,2,57,0,1
"Vertiginous Golf",9.99,2015,5,63,0,1
"Avernum 2: Crystal Souls",19.99,2015,1,78,0,0
"The Red Solstice",19.99,2015,7,74,0,1
"Burn Zombie Burn!",9.99,2010,8,72,0,0
"Septerra Core",4.99,2013,9,72,0,0
"Starseed Pilgrim",5.99,2013,4,83,0,0
"Dangerous Waters",14.99,2006,2,82,0,1
Turba,4.99,2010,7,76,0,0
"Plants vs. Zombies GOTY Edition",4.99,2009,5,87,0,0
"The Legend of Heroes: Trails in the Sky",19.99,2014,7,85,0,0
F.E.A.R.,9.99,2010,5,88,17,0
"Line Of Defense Tactics - Tactical Advantage",9.99,2014,3,47,13,0
"Guardians of Graxia",4.99,2010,11,55,0,0
"That Dragon, Cancer",14.99,2016,1,78,0,0
Oxenfree,19.99,2016,1,80,0,0
"Master of Orion 3",0,2016,2,64,0,0
"Global Ops: Commando Libya",4.99,2011,10,37,0,1
"Deus Ex: The Fall",9.99,2014,3,45,17,0
"Pixel Galaxy",9.99,2015,10,68,0,0
"Rulers of Nations",19.99,2014,7,63,0,1
"Abyss Odyssey",14.99,2014,7,69,13,0
"Company of Heroes: Opposing Fronts",19.99,2007,9,87,18,1
"Alien Rage - Unlimited",19.99,2013,9,52,17,1
"LEGO® Indiana Jones™: The Original Adventures",19.99,2009,7,78,0,0
TimeShift™,19.99,2009,7,71,0,1
"Vector Thrust",24.99,2015,7,57,0,1
Ironcast,14.99,2015,3,75,0,0
"Ring Runner: Flight of the Sages",9.99,2013,11,75,0,1
Nimbus,9.99,2010,10,80,0,0
"STAR WARS™ Jedi Knight II - Jedi Outcast™",9.99,2009,9,89,0,1
"Fight The Dragon",14.99,2014,12,76,0,1
"Ghost Master®",4.99,2006,12,81,0,0
"Tetrobot and Co.",9.99,2013,10,72,0,0
"Cubemen 2",7.99,2013,4,68,0,1
"Rampage Knights",11.99,2015,9,80,0,1
"Full Spectrum Warrior: Ten Hammers",9.99,2007,7,70,0,1
FEZ,9.99,2013,5,91,0,0
Spelunky,14.99,2013,8,90,0,0
"The Detail",5.99,2014,10,77,17,0
"White Night",14.99,2015,3,68,17,0
"Sherlock Holmes versus Jack the Ripper",9.99,2009,12,73,0,0
"Lords Of The Fallen™",19.99,2014,10,73,17,0
"PixelJunk™ Monsters Ultimate",9.99,2013,8,72,0,1
Firewatch,19.99,2016,2,81,0,0
"Blazing Angels® 2: Secret Missions of WWII",9.99,2008,5,72,0,1
QUAKE,9.99,2007,8,94,0,1
"Kero Blaster",9.99,2015,11,82,0,0
"Our Darker Purpose",14.99,2014,1,74,0,0
"Civilization IV®: Warlords",4.99,2007,4,84,0,0
"The Sims™ 3",19.99,2011,1,86,0,0
"Dream Pinball 3D",6.99,2012,9,61,0,1
"The Preposterous Awesomeness of Everything",9.99,2016,2,57,0,0
"Day of Defeat",4.99,2003,5,79,0,1
"The Secret World",29.99,2012,8,74,17,1
"Bionic Dues",9.99,2013,10,71,0,0
"Batman: Arkham Asylum Game of the Year Edition",19.99,2010,3,91,0,0
"Sniper: Ghost Warrior",7.99,2010,6,55,0,1
"Dreamfall: The Longest Journey",19.99,2007,1,75,0,0
"Secret Files 3",9.99,2012,9,67,0,0
Proteus,9.99,2013,1,80,0,0
"Wizardry 8",9.99,2013,9,85,0,0
"Brothers in Arms: Hell's Highway™",9.99,2008,10,79,17,0
"Delta Force: Black Hawk Down",14.99,2009,6,77,0,1
"Arma 2: Operation Arrowhead",19.99,2010,6,73,17,1
"Max Payne 2: The Fall of Max Payne",9.99,2008,1,86,17,0
"Slybots: Frantic Zone",6.99,2016,1,65,0,0
"Renegade Ops",15,2011,10,76,0,1
Kairo,4.99,2013,4,76,0,0
"System Shock 2",9.99,2013,5,92,17,0
Dream,16.99,2015,7,59,0,0
Darksiders™,19.99,2010,9,83,17,0
"Prince of Persia: The Two Thrones™",9.99,2008,11,85,17,0
"Warhammer® 40,000: Dawn of War® II Chaos Rising",19.99,2010,3,85,17,1
"Saints Row IV",14.99,2013,8,86,17,0
"CivCity: Rome",9.99,2007,4,67,0,0
"Don't Starve",14.99,1970,1,79,0,0
"Solar 2",9.99,2011,6,72,0,0
"Moebius: Empire Rising",14.99,2014,4,54,0,0
"Dungeons - The Dark Lord",19.99,2011,9,72,17,1
"Deep Black: Reloaded",29.99,2012,4,39,0,1
"Choplifter HD",9.99,2012,1,65,0,0
"Overclocked: A History of Violence",14.99,2015,4,70,0,0
"Mass Effect 2",19.99,2010,1,94,17,0
"Life is Feudal: Your Own",39.99,2015,11,63,0,1
"Stephen's Sausage Roll",29.99,2016,4,89,0,0
Watch_Dogs™,29.99,2014,5,77,17,1
"Soul Axiom",19.99,2016,2,57,0,0
Pid,9.99,2012,10,63,0,0
"STAR WARS™ The Clone Wars™ - Republic Heroes™",19.99,2009,10,46,0,0
Overture,4.99,2015,2,76,0,0
"Shift 2 Unleashed",19.99,2011,3,84,0,1
"Sniper: Ghost Warrior 2",19.99,2013,3,52,17,1
"Goat Simulator",9.99,2014,4,62,0,0
"STAR WARS™ Republic Commando™",9.99,2009,7,78,0,0
"Kingdoms of Amalur: Reckoning™",19.99,2012,2,81,17,0
Deathsmiles,19.99,2016,3,78,0,0
"Battlefield 2: Complete Collection",0,2009,10,91,0,0
"Pineview Drive",19.99,2014,7,58,0,0
"Mega Coin Squad",14.99,2014,8,56,0,0
"Anomaly: Warzone Earth",9.99,2011,4,80,0,0
"Bowl Bound College Football",19.99,2015,9,80,0,0
"Grow Home",7.99,2015,2,75,0,0
Legendary,2.99,2008,12,50,17,0
ICY,12.99,2015,7,56,0,0
Kholat,19.99,2015,6,64,0,0
"Door Kickers",19.99,2014,10,82,0,0
Chariot,14.99,2014,11,76,0,0
"A Story About My Uncle",12.99,2014,5,73,0,0
"S.T.A.L.K.E.R.: Call of Pripyat",19.99,2010,2,80,0,1
"Dungeon Defenders",14.99,2011,10,81,0,1
Gyromancer,5.99,2009,11,71,0,0
"Dominique Pamplemousse",4.99,2014,3,62,0,0
DEADBOLT,9.99,2016,3,78,0,0
Devilian,0,2015,12,63,17,1
"Test Drive Unlimited 2",19.99,2011,2,72,0,1
"Nancy Drew®: Ransom of the Seven Ships",6.99,2009,7,78,0,0
ENKI,9.99,2015,7,43,0,0
"Prince of Persia: Warrior Within™",9.99,2008,11,83,17,0
"Galcon Fusion",9.99,2010,2,68,0,1
"Order of Battle: Pacific",39.99,2015,4,81,0,1
"IL-2 Sturmovik: Battle of Stalingrad",49.99,2014,10,74,0,1
"Company of Heroes 2 - The Western Front Armies",0,2014,6,80,17,1
"Rise of the Argonauts",9.99,2009,1,59,17,0
"D4: Dark Dreams Don’t Die -Season One-",14.99,2015,6,67,13,0
"Peggle™ Nights",4.99,2008,10,76,0,0
"Ionball 2: Ionstorm",4.99,2014,6,70,0,0
"Dragon Age: Origins",19.99,2009,11,91,17,0
"Infested Planet",14.99,2014,3,75,0,0
HOARD,9.99,2011,4,65,0,1
"Space Empires V",14.99,2006,10,68,0,1
Obliteracers,14.99,2016,2,81,0,1
"Akaneiro: Demon Hunters",0,2014,11,53,0,0
"NOBUNAGA'S AMBITION: Sphere of Influence",59.99,2015,9,70,0,0
"American Conquest",4.99,2011,8,76,0,0
"The Cat Lady",9.99,2013,12,81,0,0
"Star Conflict",0,2013,2,75,0,1
"Inside My Radio",14.99,2015,5,68,0,0
VVVVVV,4.99,2010,9,81,0,0
"Clan of Champions",39.99,2012,10,42,18,1
"Dirty Bomb®",0,2015,6,63,0,1
"Read Only Memories",19.99,2015,10,80,0,0
Sunset,19.99,2015,5,66,0,0
"Max Payne",9.99,2008,1,89,17,0
"Genesis Rising",4.99,2007,8,57,0,1
"AI War: Fleet Command",9.99,2009,10,80,0,1
"Back to the Future: The Game",19.99,2010,12,74,0,0
"Sonic the Hedgehog 4 - Episode II",14.99,2012,5,54,0,0
"Eschalon: Book I",5.99,2009,2,75,0,0
Homesick,14.99,2015,5,72,0,0
"The Stanley Parable",14.99,2013,10,88,0,0
"Karmaflow: The Rock Opera Videogame - Act I & Act II",4.99,2015,5,47,0,0
"Darkstar One",7.99,2008,2,71,0,0
"RACE Injection",12.99,2011,11,72,0,1
"Cross of the Dutchman",8.99,2015,9,59,0,0
"Penumbra: Requiem",0,1970,1,67,0,0
"Face Noir",9.99,2013,10,59,0,0
"Grey Goo",29.99,2015,1,77,0,1
"Legends of Eisenwald",19.99,2015,7,71,0,0
"Call of Duty®: Modern Warfare® 2",19.99,2009,11,86,0,1
UnEpic,12.99,2014,7,68,16,1
"WRC 5 FIA World Rally Championship",39.99,2015,10,65,0,1
Vessel,19.99,2012,3,81,0,0
Obscuritas,19.99,2016,3,63,0,0
"Shadow Blade: Reload",14.99,2015,8,70,0,0
"Tom Clancy's Splinter Cell Chaos Theory®",9.99,2009,8,92,0,1
"Red Faction II",9.99,2009,8,64,0,0
"World In Conflict",9.99,2008,12,89,0,1
Windforge,9.99,2014,3,53,0,0
"Strike Vector",11.99,2014,1,73,0,1
"Super MNC",0,2012,4,76,0,1
"The Incredible Adventures of Van Helsing",14.99,2013,5,72,0,1
Spellweaver,0,2016,2,61,0,1
Dinocide,9.99,2016,1,51,0,0
"Zombie Army Trilogy",44.99,2015,3,72,0,0
"Sniper Elite: Nazi Zombie Army",14.99,2013,2,62,0,0
PONCHO,14.99,2015,11,62,0,0
"Galactic Civilizations® I: Ultimate Edition",9.99,2012,8,83,0,0
"Final Exam",9.99,2013,11,66,0,1
"Freedom Force",4.99,2009,5,90,0,1
"Lost Planet™: Extreme Condition",14.99,2007,6,66,0,1
"Thrillville®: Off the Rails™",9.99,2009,7,70,0,0
"Company of Heroes 2 - The British Forces",12.99,2015,9,80,17,1
"Penumbra Overture",9.99,2009,3,73,17,0
"Chaos Reborn",19.99,2015,10,85,0,1
NecroVision,4.99,2009,5,63,0,1
"Civilization IV: Beyond the Sword",9.99,2007,7,86,0,0
Kromaia,19.99,2014,10,68,0,0
"Galactic Civilizations® II: Ultimate Edition",19.99,2011,12,92,0,0
Oblitus,14.99,2015,2,69,0,0
"Super Meat Boy",14.99,2010,11,87,0,0
"DC Universe™ Online",0,2011,11,72,0,1
"Age of Wonders Shadow Magic",9.99,2010,10,82,0,1
"Impossible Creatures Steam Edition",9.99,2015,11,72,0,1
"Tower of Guns",14.99,2014,3,76,0,0
Shatter,9.99,2010,3,84,0,0
"Perimeter: Emperor's Testament",3.99,2014,5,72,0,1
Demigod,9.99,2011,12,76,0,1
"Dracula Origin",9.99,2008,8,70,0,0
Lucius,9.99,2012,10,59,18,0
Outlast,19.99,2013,9,80,0,0
"Guild Wars: Eye of the North®",19.99,2010,10,79,0,1
"Half-Life 2: Episode Two",7.99,2007,10,90,0,0
"Duke Nukem Forever",19.99,2011,6,54,17,1
"A Bird Story",4.99,2014,11,66,0,0
"Command & Conquer 3: Kane's Wrath",19.99,2009,11,77,0,1
"Medieval II: Total War™",19.99,2007,11,88,0,1
Zenzizenzic,9.99,2015,7,85,0,0
"Call of Juarez® Gunslinger",14.99,2013,5,79,18,0
"Battlefleet Gothic: Armada",39.99,2016,4,78,0,1
"Guild Wars Factions<sup>®</sup>",19.99,2009,4,84,0,1
"LEGO® Indiana Jones™ 2: The Adventure Continues",19.99,2010,2,66,0,0
Harold,9.99,2015,2,70,0,0
"Fallout Tactics: Brotherhood of Steel",9.99,2009,8,82,16,1
"Deponia Doomsday",29.99,2016,3,77,0,0
CLANNAD,49.99,2015,11,83,0,0
"Blades of Time",9.99,2012,4,63,17,1
"King's Bounty: Armored Princess",9.99,2009,11,82,0,0
"Railroad Pioneer",4.99,2014,7,50,0,1
"King's Bounty: Warriors of the North",12.99,2012,10,74,0,0
Breakneck,4.99,2016,2,76,0,0
"Project CARS",29.99,2015,5,83,0,1
"Neverending Nightmares",14.99,2014,9,68,0,0
"FINAL FANTASY® XIV: A Realm Reborn™",19.99,2014,2,83,0,1
"Analogue: A Hate Story",9.99,2012,4,62,0,0
Ziggurat,14.99,2014,10,76,0,0
"King Arthur: Fallen Champions",4.99,2011,9,54,0,0
"Gremlins, Inc.",14.99,2016,3,73,0,1
"Nancy Drew®: The Creature of Kapu Cave",6.99,2009,7,68,0,0
"Back to the Future: The Game",19.99,2010,12,74,0,0
Cloudbuilt,19.99,2014,3,72,0,0
"X: Beyond the Frontier",4.99,2010,10,67,0,0
"Castle In The Darkness",9.99,2015,2,76,0,0
"Lords of Xulima",19.99,2014,11,71,0,0
"Alien: Isolation",49.99,2014,10,81,16,0
"S.T.A.L.K.E.R.: Clear Sky",9.99,2008,9,75,0,1
"Space Hulk Ascension",29.99,2014,11,72,0,0
"Grand Theft Auto: San Andreas",14.99,2011,1,93,17,0
Stacking,9.99,2012,3,80,0,0
"Rayman® Origins",19.99,2012,3,86,0,0
"Making History II: The War of the World",14.99,2010,8,38,0,1
Memoria,49.99,2013,8,79,0,0
"Jagged Alliance: Crossfire",19.99,2012,8,63,0,0
"Painkiller Redemption",4.99,2011,2,43,0,0
"Chess 2: The Sequel",9.99,2014,8,62,0,1
"Risen 3 - Titan Lords",19.99,2014,8,65,17,0
"Sid Meier's Starships",14.99,2015,3,64,0,0
"Sorcerer King",24.99,2015,7,75,0,0
"There Came an Echo",14.99,2015,2,58,0,0
"Ghost Pirates of Vooju Island",9.99,2015,1,66,0,0
"Bookworm™ Adventures Volume 2",4.99,2009,7,79,0,0
Platformines,9.99,2014,3,67,0,0
"Dangerous High School Girls in Trouble!™",19.99,2009,2,81,0,0
"Far Cry 3",19.99,2012,12,88,17,1
"The First Templar - Steam Special Edition",19.99,2011,5,57,0,1
"Assassin's Creed™: Director's Cut Edition",19.99,2008,4,79,17,0
"King's Bounty: The Legend",6.99,2009,5,79,0,0
Evoland,9.99,2013,4,61,0,0
NightCry,24.99,2016,3,53,0,0
"Vertical Drop Heroes HD",6.99,2014,7,70,0,1
"Frozen Hearth",17.99,2013,12,46,0,1
"Ground Control Anthology",4.99,2015,7,86,0,1
"Warlock - Master of the Arcane",24.99,2012,5,71,0,1
"Fate of the World",9.99,2011,2,70,0,0
"Blood II: The Chosen + Expansion",4.99,2014,7,72,17,0
"Natural Selection 2",9.99,2012,10,80,0,1
Helldorado,9.99,2009,4,65,0,0
"Meridian: New World",6.99,2014,9,43,0,0
"Homeworld: Deserts of Kharak",49.99,2016,1,79,0,1
"Shovel Knight",14.99,2014,6,85,0,0
"Ashes of the Singularity",44.99,2016,3,68,0,1
"Theatre of War",3.99,2010,7,66,0,1
Gomo,4.99,2013,12,50,0,0
"Carmageddon: Reincarnation",29.99,2015,5,54,18,1
"Axiom Verge",19.99,2015,5,80,0,0
"Cannon Fodder 3",14.99,2012,8,49,0,0
"Tony Tough and the Night of Roasted Moths",9.99,2015,5,68,0,0
"STRIDER™ / ????????®",14.99,2014,2,78,0,0
"Keep Talking and Nobody Explodes",14.99,2015,10,67,0,0
"Men of War: Condemned Heroes",7.99,2012,4,57,0,1
"Iron Brigade",14.99,2012,8,75,0,1
Element4l,8.99,2013,5,77,0,0
"Still Life 2",7.99,2011,6,67,17,0
"Disciples II: Gallean's Return",6.49,2006,7,84,0,1
Astebreed,14.99,2014,5,86,0,0
"Penumbra: Black Plague Gold Edition",9.99,2009,1,78,17,0
"Infinity Runner",6.99,2014,7,56,0,1
DeathSpank,14.99,2010,10,77,0,0
"YAIBA: NINJA GAIDEN Z",29.99,2014,3,49,0,0
"Brutal Legend",14.99,2013,2,80,0,1
"Strong Bad's Cool Game for Attractive People: Season 1",19.99,2008,12,82,0,0
"Whispering Willows",9.99,2014,7,64,0,0
"YOU DON’T KNOW JACK®",0,2011,2,71,0,0
Minimum,9.99,2014,9,69,0,1
"Chronicles of Mystery: The Scorpio Ritual",4.99,2009,6,62,0,0
nail'd,4.99,2010,11,69,0,0
"Hitman: Absolution™",19.99,2012,11,79,17,0
DeadCore,9.99,2014,10,78,0,0
"BioShock® 2",19.99,2010,2,88,17,1
"Pier Solar and the Great Architects",14.99,2014,9,73,0,1
"Shadow Ops: Red Mercury",6.99,2014,7,61,13,1
"The Banner Saga: Factions",0,2013,2,67,0,1
"Heroes of Normandie",29.99,2015,10,65,0,1
"Castlevania: Lords of Shadow 2",39.99,2014,2,58,17,0
"Bloody Good Time",4.99,2010,10,73,0,1
"Warhammer 40,000: Space Marine",29.99,2011,9,74,17,1
Outland,9.99,2014,9,83,0,0
"F.E.A.R. 3",19.99,2011,6,74,17,1
"Gabriel Knight: Sins of the Fathers 20th Anniversary Edition",19.99,2014,10,74,0,0
"Dark Messiah of Might & Magic",9.99,2006,10,72,17,1
"In Between",11.99,2015,8,68,0,0
"Ace Combat Assault Horizon - Enhanced Edition",19.99,2013,1,77,0,1
"IL-2 Sturmovik: 1946",9.99,2008,6,86,0,1
"Endless Legend™",29.99,2014,9,82,0,1
Antichamber,19.99,2013,1,82,0,0
"QUAKE III: Team Arena",19.99,2007,8,69,0,1
"The Great Escape",3.99,2016,1,54,0,0
"Hard West",19.99,2015,11,73,0,0
Kalimba,9.99,2015,4,81,0,0
"The Lord of the Rings Online",0,2012,6,86,0,0
"Evochron Mercenary",19.99,2012,1,70,0,1
